"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Fare_log"
"1","0","3","male",22,"1","0",7.25,"S",-1.98100146886658
"2","1","1","female",38,"1","0",71.2833,"C",-4.26666207838721
"3","1","3","female",26,"0","0",7.925,"S",-2.07002231976334
"4","1","1","female",35,"1","0",53.1,"S",-3.97217692824789
"5","0","3","male",35,"0","0",8.05,"S",-2.08567209143047
"6","0","3","male",29.881137667304,"0","0",8.4583,"Q",-2.13514820779938
"7","0","1","male",54,"0","0",51.8625,"S",-3.94859598565899
"8","0","3","male",2,"3","1",21.075,"S",-3.04808750388792
"9","1","3","female",27,"0","2",11.1333,"S",-2.40994061729809
"10","1","2","female",14,"1","0",30.0708,"C",-3.40355460123583
"11","1","3","female",4,"1","1",16.7,"S",-2.81540871942271
"12","1","1","female",58,"0","0",26.55,"S",-3.27902974768795
"13","0","3","male",20,"0","0",8.05,"S",-2.08567209143047
"14","0","3","male",39,"1","5",31.275,"S",-3.44281905635297
"15","0","3","female",14,"0","0",7.8542,"S",-2.06104842056294
"16","1","2","female",55,"0","0",16,"S",-2.77258872223978
"17","0","3","male",2,"4","1",29.125,"Q",-3.37159691188586
"18","1","2","male",29.881137667304,"0","0",13,"S",-2.56494935746154
"19","0","3","female",31,"1","0",18,"S",-2.89037175789616
"20","1","3","female",29.881137667304,"0","0",7.225,"C",-1.9775472339985
"21","0","2","male",35,"0","0",26,"S",-3.25809653802148
"22","1","2","male",34,"0","0",13,"S",-2.56494935746154
"23","1","3","female",15,"0","0",8.0292,"Q",-2.08308489659463
"24","1","1","male",28,"0","0",35.5,"S",-3.56953269648137
"25","0","3","female",8,"3","1",21.075,"S",-3.04808750388792
"26","1","3","female",38,"1","5",31.3875,"S",-3.4464097244837
"27","0","3","male",29.881137667304,"0","0",7.225,"C",-1.9775472339985
"28","0","1","male",19,"3","2",263,"S",-5.57215403217776
"29","1","3","female",29.881137667304,"0","0",7.8792,"Q",-2.06422637587336
"30","0","3","male",29.881137667304,"0","0",7.8958,"S",-2.06633097252974
"31","0","1","male",40,"0","0",27.7208,"C",-3.32218303393412
"32","1","1","female",29.881137667304,"1","0",146.5208,"C",-4.98716739790117
"33","1","3","female",29.881137667304,"0","0",7.75,"Q",-2.04769284336526
"34","0","2","male",66,"0","0",10.5,"S",-2.35137525716348
"35","0","1","male",28,"1","0",82.1708,"C",-4.40880000780905
"36","0","1","male",42,"1","0",52,"S",-3.95124371858143
"37","1","3","male",29.881137667304,"0","0",7.2292,"C",-1.97812837997935
"38","0","3","male",21,"0","0",8.05,"S",-2.08567209143047
"39","0","3","female",18,"2","0",18,"S",-2.89037175789616
